"booking id","booking_date_time","distance_travelled","time_taken","commission_base_cost","driver_base_cost","total_tax","total_trip_cost","ratings"
"1412247726","43112.091666667","2","3","14.37","57.46","5.46","77","2"
"1539256031","43152.975694444","12","35","37.4","149.6","14.21","201","5"
"2002278184","43277.898611111","13","51","70.26","281.02","26.7","378","4"
"1513044400","43144.899305556","22","64","81.04","324.16","30.8","436","5"
"1429650966","43118.004861111","10","29","30.22","120.88","11.48","163","1"
"1522288862","43147.891666667","11","46","49.26","197.04","18.72","265.02","5"
"1581006946","43166.021527778","4","29","23.98","95.92","9.12","129.02","5"
"1814273936","43231.018055556","3","5","25.84","103.34","9.82","139","3"
"1944007201","43263.719444444","2","5","14.13","56.5","5.37","76","3"
"1721759372","43209.138194444","3","3","18.6","74.4","7.07","100","5"
"1725816876","43209.949305556","20","48","60.41","241.63","22.95","325","4"
"1386955051","43103.125","1","2","14.55","58.21","5.53","78","4"
"1653550083","43188.914583333","7","47","44.32","177.26","16.84","238.42","3"
"OSN_885789461","43158.993055556","2","5.55","9.11","36.43","3.46","49","5"
"1537682005","43152.595833333","31","72","85.84","403.36","35.62","524.82","5"
"1971347357","43269.965277778","10","30","56.13","224.54","21.33","302","3"
"OSN_942438277","43201.040277778","8","19.7","11.87","47.5","4.52","64","2"
"1522504301","43147.961805556","2","22","23.92","95.66","9.09","129","5"
"1650218017","43187.901388889","9","37","43.93","175.7","16.7","236.33","5"
"1490780750","43138.036805556","2","2","15.09","60.38","5.74","81","5"
"1666836418","43192.894444444","12","49","39.69","158.74","15.08","213.51","4"
"1942042449","43263.29375","35","76","126.28","575.12","51.5","679","5"
"1521753390","43147.821527778","2","4","23.6","94.4","8.97","126.97","5"
"1813736066","43230.909027778","22","52","96.7","386.78","36.75","520","4"
"2008705648","43279.911805556","9","26","40.3","161.2","15.32","217","3"
"1971092007","43269.906944444","31","67","127.92","581.67","52.11","762","2"
"1395214160","43105.973611111","2","5","19.22","76.86","7.3","103","4"
"1971254823","43269.936111111","5","6","29.43","117.74","11.19","158","4"
"1952235555","43265.976388889","7","30","50","200","19","269","4"
"1392476541","43104.934722222","4","25","25.42","101.67","9.66","137","4"
"1493829563","43138.979166667","3","11","20.84","83.36","7.92","112","4"
"1870695758","43245.04375","11","35","33.44","133.77","12.7","180","4"
"1669803315","43193.95","30","54","79.32","387.28","33.64","500.24","4"
"1902220552","43253.042361111","9","30","30.04","120.16","11.42","162","4"
"1412246815","43112.092361111","18","49","53.49","213.95","20.33","288","4"
"1860397570","43241.895138889","6","37","38.29","153.16","14.55","206","1"
"1451789900","43125.100694444","1","2","14.06","56.24","5.34","76","4"
"1929738747","43259.904166667","8","47","38.94","155.76","14.8","210","5"
"1408173303","43110.752777778","13","28","38.35","213.39","17.57","269","5"
"1978893166","43271.963888889","15","48","72.45","324.79","29.28","427","4"
"1952011574","43265.898611111","31","68","134.08","606.3","54.44","795","4"
"1635126686","43182.926388889","3","43","33.31","133.22","12.66","179.19","5"
"1415713671","43113.045833333","19","35","43.18","172.72","16.41","232","5"
"1849210418","43239.033333333","6","22","24.16","96.64","9.18","130","3"
"1918265219","43256.878472222","30","90","105.2","455.82","41.73","603","3"
"1644088250","43185.940277778","11","47","47.21","188.85","17.94","254","1"
"1978744916","43271.911805556","24","53","100.78","403.11","38.3","542","4"
"1814300052","43231.036805556","20","38","45.35","181.42","17.23","244","5"
"1872141892","43245.567361111","20","46","48.92","265.68","22.09","337","4"
"1696172313","43201.882638889","13","48","45.54","182.16","17.31","245.01","5"
"1562207636","43159.990277778","4","5","17.3","69.21","6.57","93.08","4"
"1696315752","43201.933333333","15","45","48.43","193.72","18.41","260.56","2"
"1469404880","43131.020138889","6","7","19.78","79.12","7.52","106","5"
"1581047342","43166.092361111","10","16","26.32","105.28","10","141.6","5"
"1761025116","43217.959722222","7","33","40.71","162.82","15.47","219","4"
"1467025683","43130.345833333","27","94","89.27","357.08","33.92","480","4"
"1945361159","43264.142361111","27","52","64.41","257.64","24.47","347","5"
"1693091081","43201.027777778","12","30","37.73","150.93","14.34","203","4"
"1532906921","43150.888194444","13","55","46.28","185.12","17.59","248.99","5"
"1860680658","43242.03125","27","45","65.7","262.8","24.97","353","1"
"1886591871","43248.882638889","16","57","70.17","315.68","28.41","414","5"
"1409183428","43111.041666667","3","3","19.3","77.19","7.33","104","3"
"1833620624","43234.909027778","17","58","47.68","225.72","19.87","293","2"
"1886788118","43248.936805556","2","3","15.06","60.22","5.72","81","4"
"1690063888","43200.175","14","30","35.69","177.75","15.31","228.75","4"
"1875353468","43245.975694444","12","35","66.05","264.19","25.1","355","5"
"OSN_1042915169","43273.884722222","12","46.5","23.98","95.91","9.12","129","4"
"1558799814","43158.896527778","22","64","81.66","326.62","31.03","439.31","5"
"1922362711","43258.079166667","12","28","33.64","134.58","12.79","181","5"
"1559031610","43159.0125","14","33","43.2","172.8","16.42","232.42","5"
"1423833643","43116.033333333","2","3","15.16","60.63","5.76","82","4"
"1522418879","43147.927777778","21","44","48.8","195.2","18.54","262.54","4"
"1599911448","43171.941666667","12","42","38.1","152.42","14.48","205","5"
"1875239345","43245.94375","11","38","74.56","298.22","28.33","401","3"
"1717437467","43207.945138889","2","4","19.18","76.72","7.29","103","5"
"1539222442","43152.963194444","34","64","93.24","432.96","38.42","564.62","4"
"1602739867","43172.917361111","2","5","17.66","70.63","6.71","95","2"
"1948760666","43265.11875","10","6","28.88","115.52","10.98","155","2"
"1640550979","43184.865277778","13","35","69.62","198.91","22.48","291.01","5"
"1451444542","43124.898611111","5","40","27.76","111.04","10.55","149","4"
"1902049449","43252.956944444","29","54","120.74","482.98","45.88","650","4"
"OSN_923037503","43186.894444444","5","33.43","7.25","29","2.75","39","5"
"1751559887","43216.007638889","10","39","45.79","183.15","17.4","246","3"
"1565311478","43160.964583333","4","13","18.58","74.32","7.06","99.96","4"
"1696413723","43201.979861111","6","27","24.9","99.58","9.46","134","4"
"1487967851","43137.073611111","1","2","14.06","56.24","5.34","76","5"
"1451769774","43125.063888889","5","5","20.26","81.05","7.7","109","2"
"1448491041","43123.963194444","31","75","98.12","392.5","37.29","528","2"
"1423570204","43115.9125","17","54","47.08","188.32","17.9","253","5"
"1894059849","43250.9875","49","91","141.94","602.76","55.69","800","5"
"1635063592","43182.897916667","30","95","112.08","483.33","44.34","639.75","4"
"1730565489","43210.900694444","21","58","69.85","279.42","26.56","376","2"
"1510449006","43143.934722222","4","6","16.6","66.4","6.31","89.31","5"
"1510602336","43144.025","5","5","17.02","68.08","6.46","91.56","4"
"1679742364","43197.042361111","3","3","20.63","82.53","7.84","111","5"
"1613032821","43175.903472222","2","4","16.54","66.17","6.29","89","4"
"1902140451","43252.989583333","31","50","115.77","533.09","47.49","696","2"
"1565174221","43160.928472222","4","34","25.51","102.03","9.69","137.23","5"
"1669733627","43193.899305556","3","33","28.26","113.05","10.74","152.05","3"
"1605911642","43174.19375","2","2","13.94","55.76","5.3","75","4"
"1426714037","43116.972222222","11","34","32.92","131.68","12.51","177","5"
"OSN_933739493","43194.903472222","2","19.38","7.25","29","2.75","39","5"
"1536115123","43151.933333333","13","48","39.4","157.6","14.97","211.97","5"
"1918518490","43256.961111111","12","45","43.31","173.23","16.46","233","5"
"1987014006","43273.925694444","11","47","84.76","339.03","32.21","456","5"
"1863617920","43242.899305556","5","9","24.95","99.82","9.48","134","5"
"2012706916","43281.015972222","3","4","21.56","86.25","8.19","116","3"
"1587418457","43168.216666667","8","25","32.28","129.12","12.27","173.67","5"
"1672771175","43194.911111111","16","47","51.93","207.73","19.74","279.4","4"
"1403547103","43108.888888889","28","86","83.32","333.28","31.66","448","4"
"1893635589","43250.881944444","7","44","38.29","153.16","14.55","206","4"
"1563443829","43160.559027778","56","9","226.34","1025.36","92","1343.7","4"
"1870769964","43245.182638889","31","50","78.4","383.6","33.29","495","4"
"1841319078","43236.925","8","39","37.55","150.18","14.27","202","5"
"1493834631","43138.991666667","4","22","20.8","83.2","7.9","112","4"
"1403737601","43108.978472222","2","2","18.02","72.08","6.84","97","4"
"1751571490","43216.018055556","4","4","21.04","84.16","8","113","5"
"1978907849","43271.975","2","4","19.7","78.81","7.49","106","3"
"1487647440","43136.901388889","10","42","47.38","189.52","18.01","255","4"
"1394976385","43105.884722222","10","49","58.11","232.43","22.08","313","5"
"1412065109","43111.931944444","3","28","22.36","89.44","8.49","120","1"
"1703551442","43203.934722222","5","21","46.81","187.24","17.78","251.83","4"
"1533041755","43150.935416667","8","57","47.1","188.4","17.9","253.4","5"
"1490673394","43137.954166667","27","67","72.3","289.2","27.47","389","4"
"1516393994","43146.028472222","2","3","17.99","71.97","6.84","97","5"
"1699743963","43202.927083333","15","45","44.94","214.74","18.83","278.51","5"
"1406015646","43109.879861111","9","46","34.48","137.92","13.1","186","2"
"1516336066","43145.986111111","3","10","20","80","7.6","107.6","5"
"1914926628","43255.941666667","8","27","69.71","278.82","26.48","375","4"
"1632052342","43182.028472222","4","4","19.58","78.33","7.44","105.35","2"
"1809490376","43230.064583333","4","4","15.88","63.52","6.04","85","5"
"1474649247","43133.002777778","2","2","12.64","50.56","4.81","68","4"
"1879246081","43247.034722222","4","4","20.56","82.24","7.81","111","4"
"1536033823","43151.909027778","6","41","32.11","128.44","12.2","172.75","5"
"OSN_885773819","43158.968055556","3","14.63","7.43","29.74","2.83","40","4"
"1743795495","43214.270833333","16","31","61.68","246.71","23.44","332","3"
"1743436233","43213.928472222","1","3","15.77","63.07","5.99","85","5"
"1602659429","43172.888888889","9","37","43.9","175.6","16.68","236.18","4"
"1886629487","43248.897222222","11","42","47.82","191.28","18.16","257","5"
"1389975162","43104.068055556","12","15","43.05","272.2","21.36","337","3"
"1442744790","43122.364583333","31","115","131.93","587.71","53.14","773","4"
"1801794140","43227.928472222","15","45","59.26","237.03","22.52","319","3"
"1945171867","43263.9375","28","52","97.94","391.78","37.22","527","5"
"1951883389","43265.881944444","22","53","71.78","287.13","27.28","386","4"
"1730999467","43210.974305556","20","49","68.44","273.78","26.01","368","5"
"1713832850","43206.915277778","13","49","41.08","164.31","15.61","221","4"
"OSN_999571081","43235.982638889","2","14.8","9.36","37.45","3.56","50","5"
"1833600244","43234.897916667","6","30","29.37","117.47","11.16","158","3"
"1429702328","43118.060416667","14","34","45.43","181.74","17.27","244","3"
"1631850777","43181.911111111","15","44","75.78","303.1","28.8","407.68","4"
"1510333134","43143.895138889","3","6","24.01","96.02","9.12","129.15","4"
"1587017179","43167.897222222","2","4","13.69","54.78","5.2","73.67","3"
"1565298123","43160.959722222","29","66","77.95","311.8","29.64","419.39","4"
"1462472263","43128.777083333","14","53","57.17","228.68","21.74","308","4"
"1841228904","43236.901388889","5","40","30.48","121.94","11.59","164","4"
"1545680869","43155.004166667","11","39","41.4","165.6","15.73","222.73","4"
"1429621530","43117.986111111","11","43","48.29","193.16","18.35","260","2"
"1676030255","43196.032638889","5","15","26.62","106.48","10.12","143.22","5"
"1406151224","43109.915972222","0","1","12","48","4.56","65","4"
"1448592287","43124.057638889","3","3","21.13","84.52","8.03","114","1"
"2008682446","43279.902083333","20","121","77.22","308.88","29.34","415","5"
"1952364342","43266.131944444","8","25","32.53","130.11","12.37","175","1"
"OSN_1023168149","43256.178472222","2","8.98","12.24","48.94","4.65","66","5"
"1583852040","43166.942361111","11","42","47.82","191.28","18.17","257.27","5"
"1751592362","43216.023611111","5","6","23.36","93.44","8.87","126","3"
"1860690207","43242.045138889","1","2","13.2","52.79","5.02","71","5"
"1692917334","43200.919444444","13","49","43.68","174.72","16.6","235","3"
"1580982220","43165.996527778","5","5","22.2","88.8","8.44","119.44","4"
"1781078974","43222.904861111","31","75","95.88","418.52","38.19","553","4"
"1474595874","43132.965277778","11","37","47.45","189.8","18.03","255","5"
"1406208307","43109.936805556","20","42","56.47","225.87","21.45","304","5"
"1751275042","43215.910416667","8","55","47.58","190.34","18.08","256","5"
"1432674781","43118.955555556","3","4","14.2","56.8","5.4","76","3"
"1925654207","43258.945138889","6","42","29.55","118.22","11.23","159","2"
"1558869982","43158.91875","11","42","36.4","145.6","13.83","195.83","4"
"1833518481","43234.881944444","2","5","37.17","148.67","14.12","200","2"
"1805481788","43228.971527778","2","3","25.09","100.37","9.54","135","5"
"1448580338","43124.043055556","1","1","13.2","52.8","5.02","71","3"
"1429671089","43118.023611111","11","37","38.34","153.36","14.57","206","5"
"2011081175","43280.740277778","2","6","20.82","83.27","7.91","112","2"
"1911897734","43255.467361111","18","58","49.48","197.92","18.81","266","5"
"1426781822","43117.031944444","10","34","32.08","128.32","12.19","173","4"
"1415249853","43112.897916667","21","51","86.67","346.66","32.94","466","5"
"1678399019","43196.788194444","6","48","33.52","134.08","12.73","180.33","4"
"1435928426","43119.95","31","78","97.76","391.02","37.15","526","4"
"OSN_1033481875","43265.064583333","2","6.85","12.01","48.03","4.56","65","3"
"1542290622","43154.004166667","20","40","45.8","183.2","17.4","246.4","5"
"1819340049","43231.883333333","9","41","88.29","353.16","33.55","475","4"
"1879291441","43247.082638889","6","5","25.24","100.96","9.59","136","5"
"1833485714","43234.877777778","7","38","33.49","133.98","12.73","180","5"
"1915055349","43256.009027778","5","5","26.21","104.83","9.96","141","4"
"1423544128","43115.896527778","17","61","53.65","214.61","20.39","289","3"
"1653809909","43188.991666667","2","3","18.96","75.84","7.2","102","3"
"OSN_1012254757","43245.932638889","15","66.33","54.31","238.21","21.69","314","5"
"1870673381","43245.01875","10","26","29.92","119.68","11.36","161","2"
"1555909918","43157.903472222","27","55","72.71","290.86","27.62","391.19","4"
"1487614841","43136.895138889","3","7","21.91","87.64","8.32","118","4"
"1971479265","43270.070138889","11","21","48.76","195.06","18.54","262","4"
"1562146151","43159.958333333","12","45","42.6","170.4","16.19","229.19","5"
"1886867404","43248.982638889","2","12","21.38","85.54","8.12","115","5"
"1426627586","43116.927083333","12","44","42.68","170.7","16.22","230","4"
"1805538036","43229.013194444","10","38","46.65","186.62","17.73","251","3"
"1785117779","43223.948611111","8","34","33.46","133.82","12.71","180","5"
"1672950876","43194.993055556","2","2","16.96","67.84","6.44","91.24","3"
"2002519586","43278.047916667","5","4","25.78","103.12","9.8","139","5"
"1743269857","43213.88125","2","5","19.7","78.81","7.49","106","5"
"OSN_914758323","43180.802777778","5","42.78","32.94","131.74","12.52","177","4"
"1415511007","43112.938888889","11","53","39.46","157.84","14.99","212","4"
"1863834255","43243.020833333","2","2","17.12","68.48","6.5","92","4"
"1633384022","43182.58125","64","0","339.8","1359.2","129.12","1828.12","5"
"1725556031","43209.889583333","5","35","33.28","133.1","12.66","179","4"
"1669791332","43193.922222222","4","30","23.68","94.74","9","127.42","4"
"1432529741","43118.902083333","8","45","34.46","137.82","13.09","185","4"
"1411882007","43111.885416667","8","47","36.27","145.09","13.78","195","3"
"1429661856","43118.009027778","1","2","16.48","65.94","6.27","89","5"
"1721563349","43208.975694444","5","30","34.5","137.98","13.12","186","4"
"1755291458","43216.885416667","12","56","67.29","269.14","25.57","362","2"
"1951943677","43265.886805556","5","34","42.52","170.06","16.16","229","2"
"1647138581","43186.994444444","6","27","26.14","104.54","9.94","140.62","4"
"1971228374","43269.930555556","2","4","25.28","101.11","9.61","136","4"
"1661709834","43191.666666667","20","52","45.89","183.55","17.44","246.88","2"
"1863678540","43242.917361111","11","38","54.08","216.32","20.55","291","4"
"1643956729","43185.890972222","4","30","0","80.77","6.23","87","5"
"1415678833","43113.013194444","9","34","58.42","233.68","22.2","314","5"
"1643954283","43185.894444444","25","58","85.41","341.63","32.45","459.49","5"
"1743593073","43213.995833333","11","25","34.57","138.29","13.13","186","5"
"1532895580","43150.882638889","7","41","31.2","124.8","11.86","167.86","4"
"1918410136","43256.913194444","2","5","21.62","86.46","8.21","116","4"
"1918315970","43256.890277778","3","7","29.55","118.22","11.23","159","5"
"1542315822","43154.033333333","1","2","14.46","57.85","5.49","77.8","5"
"1747397130","43215.010416667","30","52","84.39","372.54","33.82","491","3"
"1890056225","43249.913888889","15","56","73.98","330.92","29.87","435","4"
"1730832650","43210.940277778","33","81","102.84","446.36","40.84","590","5"
"1432800324","43119.068055556","9","32","30.04","120.16","11.4","162","4"
"1890243607","43250.022222222","4","22","25.25","100.99","9.58","136","5"
"1539218276","43152.959027778","11","43","41.25","165","15.68","221.93","5"
"1411937012","43111.889583333","7","28","30.76","123.06","11.69","166","4"
"1945124718","43263.926388889","3","7","22.12","88.47","8.4","119","4"
"1605656915","43173.918055556","2","5","18.49","73.97","7.03","99.49","4"
"2005405425","43278.89375","22","58","77.94","311.76","29.62","419","5"
"1886727207","43248.918055556","11","38","34.48","137.92","13.11","186","5"
"1889983558","43249.890277778","2","5","22.68","90.7","8.62","122","4"
"1610765983","43175.580555556","4","35","27.51","110.04","10.45","148","4"
"1666837420","43192.890277778","8","21","37.07","148.28","14.1","199.45","4"
"1423699084","43115.945833333","4","6","22.03","88.13","8.38","119","5"
"1918376134","43256.90625","16","59","64.17","291.68","26.13","382","5"
"1426525480","43116.898611111","10","41","47.13","188.52","17.91","254","5"
"1948325061","43264.872916667","7","30","47.04","188.16","17.86","253","4"
"1717321977","43207.915972222","17","50","51.84","207.36","19.7","278.9","5"
"1867188268","43243.977777778","2","3","13.75","55.02","5.23","74","4"
"1487731132","43136.916666667","16","48","50.02","200.08","19","269","5"
"1631921114","43181.947916667","9","39","38.48","153.9","14.63","207","3"
"1893666119","43250.883333333","14","54","59.36","237.44","22.55","319","5"
"1562247773","43160.01875","3","3","14.6","58.4","5.55","78.55","4"
"1894178421","43251.133333333","27","48","64.31","257.25","24.44","346","5"
"1781115501","43222.909027778","27","64","104.68","418.7","39.78","563","5"
"1666956933","43192.931944444","13","42","43.87","175.46","16.67","236","3"
"1785023071","43223.933333333","20","45","47.58","190.34","18.08","256","2"
"1587073152","43167.902777778","16","47","49.57","198.28","18.83","266.68","4"
"1941917547","43263.131944444","11","30","43.62","174.5","16.58","235","4"
"1657030625","43189.998611111","11","40","41.44","165.76","15.75","222.95","4"
"2005637455","43278.967361111","20","59","70.09","315.37","28.39","414","3"
"2009907643","43280.484722222","10","49","41.82","167.29","15.89","225","4"
"1863576439","43242.895138889","29","58","83.53","369.12","33.5","449","5"
"1561981512","43159.899305556","5","40","29.6","118.4","11.25","159.25","4"
"1809150006","43229.906944444","2","5","26.21","104.83","9.96","141","3"
"1599791774","43171.897916667","4","7","24.05","96.22","9.14","129.41","5"
"1386641437","43102.897222222","6","35","35.19","140.76","13.37","189","4"
"1412233075","43112.063194444","2","2","14.92","59.7","5.68","80","4"
"2005546827","43278.928472222","1","2","31.68","126.72","12.04","170","3"
"2002344295","43277.922222222","5","48","49.66","198.64","18.87","267","4"
"1819653097","43231.921527778","37","81","197.58","825.3","76.82","1100","4"
"1587361067","43168.095833333","22","40","59.44","237.76","22.59","319.79","4"
"1998983227","43276.886111111","30","72","83.46","368.83","33.46","486","4"
"1813367249","43230.888194444","21","50","95.04","380.16","36.1","511","1"
"1602932391","43173.097916667","2","15","20.54","82.16","7.8","110.5","4"
"1747314128","43214.963194444","8","33","44.3","177.2","16.83","238","3"
"1472072924","43132.215972222","10","33","29.78","119.11","11.32","160","5"
"1689695500","43199.896527778","31","61","124.88","569.5","50.96","745.34","4"
"1600051146","43172.043055556","2","3","16.54","66.17","6.29","89","4"
"1594664667","43170.572916667","3","4","17.66","70.63","6.71","95","4"
"1918305757","43256.890277778","7","49","52.97","211.9","20.13","285","4"
"1406348045","43110.070138889","3","3","19.46","77.85","7.39","105","4"
"1669743648","43193.903472222","11","47","40.2","160.8","15.28","216.28","3"
"1609323114","43174.9625","13","38","43.12","172.49","16.38","231.99","4"
"1539306877","43153.00625","7","27","35.53","142.14","13.51","191.18","4"
"1941574104","43262.900694444","5","33","41.63","166.53","15.82","224","5"
"1472019845","43132.109722222","8","15","29.91","119.62","11.36","161","5"
"1613066599","43175.917361111","11","75","46.97","187.86","17.84","252.67","4"
"1925405354","43258.872222222","30","86","140.33","596.34","55.08","792","4"
"1580869146","43165.929861111","2","15","20.52","82.08","7.8","110.4","5"
"1922244529","43257.960416667","20","61","76.57","341.28","30.84","449","2"
"1675750702","43195.889583333","3","6","19.82","79.29","7.53","106.64","5"
"1600096375","43172.139583333","2","2","12.64","50.56","4.81","68.01","4"
"1801958125","43228.004166667","3","4","19.41","77.62","7.37","104","5"
"1395157008","43105.945833333","10","35","32.02","128.08","12.16","172","5"
"1819500239","43231.913888889","13","51","133.08","532.32","50.57","716","3"
"1897610100","43251.965277778","27","53","108.59","434.35","41.27","584","4"
"1773407258","43220.904166667","37","91","135.37","576.48","53.19","765","2"
"1545677923","43155.004861111","1","2","16.6","66.4","6.31","89.31","5"
"1700007965","43203.211111111","4","4","15.54","62.17","5.91","83.62","5"
"1845006923","43237.921527778","3","7","21.56","86.25","8.19","116","4"
"1516210772","43145.925694444","5","30","28.23","112.94","10.73","151.9","5"
"1717491275","43207.973611111","1","2","16.54","66.17","6.29","89","5"
"1725595426","43209.907638889","9","31","55.3","221.18","21.02","298","4"
"1448446569","43123.940972222","2","3","13.19","52.76","5.01","71","4"
"1945336831","43264.089583333","8","28","32.56","130.24","12.37","175","5"
"1999376686","43277.211111111","5","4","17.1","68.4","6.5","92","4"
"1412116169","43111.969444444","10","48","36.4","145.6","13.83","196","2"
"1971102660","43269.900694444","6","42","47.58","190.34","18.08","256","5"
"1814338349","43231.095833333","2","3","13.38","53.53","5.09","72","2"
"1435679780","43119.8875","7","33","43.95","175.81","16.72","236","5"
"1580997363","43166.010416667","2","3","18.93","75.72","7.2","102","4"
"1540347279","43153.498611111","28","78","88.62","414.47","36.68","539.77","5"
"1652467487","43188.741666667","14","64","50.56","202.23","19.21","272","4"
"1971170239","43269.913194444","2","5","24.03","96.12","9.14","129","3"
"1406380059","43110.146527778","19","23","54.41","217.62","20.68","293","5"
"1773290547","43220.886805556","14","39","57.29","229.15","21.78","308","4"
"1558981960","43158.972916667","10","26","29.56","118.24","11.24","159.04","5"
"1915039648","43255.996527778","10","38","41.82","167.29","15.89","225","4"
"1743560605","43213.98125","4","5","19.52","78.06","7.41","105","3"
"1508442637","43143.488194444","27","78","78.64","314.56","29.88","423.08","4"
"1583981808","43167.022222222","4","4","16.4","65.6","6.23","88.23","2"
"1743560154","43213.977777778","6","29","30.6","122.42","11.63","165","3"
"1897610911","43251.964583333","11","48","61.15","244.61","23.24","329","1"
"1445530727","43122.9125","15","45","54.52","218.09","20.71","293","3"
"1925638656","43258.945138889","4","25","22.3","89.2","8.47","120","5"
"1760407261","43217.875694444","6","41","43.25","172.99","16.44","233","2"
"1542162713","43153.93125","11","37","33.8","135.2","12.84","181.84","5"
"1426820420","43117.108333333","31","53","76.4","365.6","32.03","474","4"
"1577900950","43164.91875","2","5","18.4","73.6","6.99","98.99","5"
"1755720884","43216.957638889","27","51","126.21","504.83","47.96","679","5"
"1499553859","43140.834027778","15","37","73.67","294.67","28","396","4"
"1545707113","43155.027083333","2","3","14.09","56.37","5.36","75.82","5"
"1389958779","43104.038888889","6","6","25.46","101.84","9.67","137","3"
"1975186434","43271.029861111","17","40","42.01","203.03","17.71","263","4"
"1466736303","43130.011111111","2","2","15.02","60.1","5.71","81","3"
"1448538114","43124.001388889","4","5","22.32","89.27","8.48","120","4"
"1717580583","43208.045138889","10","28","30.11","120.45","11.44","162","4"
"1696329755","43201.934722222","6","40","31.91","127.62","12.12","171.65","5"
"1982923055","43272.963888889","6","33","51.67","206.67","19.63","278","4"
"1642279791","43185.524305556","6","33","31.85","127.39","12.1","171.34","5"
"1507073274","43142.96875","16","36","57.76","331.04","26.96","415.76","4"
"1941739828","43262.942361111","2","4","28.81","115.24","10.95","155","4"
"1631997890","43181.977083333","16","30","56.28","225.14","21.39","302.81","1"
"1415601888","43112.965972222","2","3","18.49","73.96","7.03","99","1"
"1487660292","43136.904166667","23","82","84.73","373.94","33.96","493","4"
"1689692724","43199.89375","16","52","51","204","19.38","274.38","2"
"1522488142","43147.954166667","2","4","18.4","73.6","6.99","98.99","5"
"1805511301","43228.991666667","16","35","47.64","190.56","18.11","256","3"
"1902247317","43253.086111111","21","42","86.99","382.95","34.81","505","5"
