booking id,booking_date_time,distance_travelled,time_taken,commission_base_cost,driver_base_cost,total_tax,total_trip_cost,ratings,cluster_kmeans,cluster_gmm
1971092007,43269.906944444,31,67.0,127.92,581.67,52.11,762.0,2,0,5
1395214160,43105.973611111,2,5.0,19.22,76.86,7.3,103.0,4,7,0
1971254823,43269.936111111,5,6.0,29.43,117.74,11.19,158.0,4,5,0
1952235555,43265.976388889,7,30.0,50.0,200.0,19.0,269.0,4,5,2
1392476541,43104.934722222,4,25.0,25.42,101.67,9.66,137.0,4,7,4
1493829563,43138.979166667,3,11.0,20.84,83.36,7.92,112.0,4,7,4
1870695758,43245.04375,11,35.0,33.44,133.77,12.7,180.0,4,5,2
1669803315,43193.95,30,54.0,79.32,387.28,33.64,500.24,4,4,5
1902220552,43253.042361111,9,30.0,30.04,120.16,11.42,162.0,4,5,2
1412246815,43112.092361111,18,49.0,53.49,213.95,20.33,288.0,4,4,1
1860397570,43241.895138889,6,37.0,38.29,153.16,14.55,206.0,1,1,2
1451789900,43125.100694444,1,2.0,14.06,56.24,5.34,76.0,4,7,0
1929738747,43259.904166667,8,47.0,38.94,155.76,14.8,210.0,5,5,2
1408173303,43110.752777778,13,28.0,38.35,213.39,17.57,269.0,5,3,5
1978893166,43271.963888889,15,48.0,72.45,324.79,29.28,427.0,4,0,5
1952011574,43265.898611111,31,68.0,134.08,606.3,54.44,795.0,4,0,5
1635126686,43182.926388889,3,43.0,33.31,133.22,12.66,179.19,5,3,4
1415713671,43113.045833333,19,35.0,43.18,172.72,16.41,232.0,5,3,1
1849210418,43239.033333333,6,22.0,24.16,96.64,9.18,130.0,3,1,2
1918265219,43256.878472222,30,90.0,105.2,455.82,41.73,603.0,3,0,5
1644088250,43185.940277778,11,47.0,47.21,188.85,17.94,254.0,1,2,4
1978744916,43271.911805556,24,53.0,100.78,403.11,38.3,542.0,4,0,1
1814300052,43231.036805556,20,38.0,45.35,181.42,17.23,244.0,5,5,1
1872141892,43245.567361111,20,46.0,48.92,265.68,22.09,337.0,4,0,5
1696172313,43201.882638889,13,48.0,45.54,182.16,17.31,245.01,5,5,4
1562207636,43159.990277778,4,5.0,17.3,69.21,6.57,93.08,4,7,0
1696315752,43201.933333333,15,45.0,48.43,193.72,18.41,260.56,2,1,4
1469404880,43131.020138889,6,7.0,19.78,79.12,7.52,106.0,5,3,0
1581047342,43166.092361111,10,16.0,26.32,105.28,10.0,141.6,5,3,4
1761025116,43217.959722222,7,33.0,40.71,162.82,15.47,219.0,4,5,4
1467025683,43130.345833333,27,94.0,89.27,357.08,33.92,480.0,4,4,5
1945361159,43264.142361111,27,52.0,64.41,257.64,24.47,347.0,5,0,1
1693091081,43201.027777778,12,30.0,37.73,150.93,14.34,203.0,4,5,4
1532906921,43150.888194444,13,55.0,46.28,185.12,17.59,248.99,5,3,4
1860680658,43242.03125,27,45.0,65.7,262.8,24.97,353.0,1,1,1
1886591871,43248.882638889,16,57.0,70.17,315.68,28.41,414.0,5,0,5
1409183428,43111.041666667,3,3.0,19.3,77.19,7.33,104.0,3,7,0
1833620624,43234.909027778,17,58.0,47.68,225.72,19.87,293.0,2,1,5
1886788118,43248.936805556,2,3.0,15.06,60.22,5.72,81.0,4,5,0
1690063888,43200.175,14,30.0,35.69,177.75,15.31,228.75,4,5,5
1875353468,43245.975694444,12,35.0,66.05,264.19,25.1,355.0,5,5,2
OSN_1042915169,43273.884722222,12,46.5,23.98,95.91,9.12,129.0,4,5,2
1558799814,43158.896527778,22,64.0,81.66,326.62,31.03,439.31,5,4,1
1922362711,43258.079166667,12,28.0,33.64,134.58,12.79,181.0,5,5,2
1559031610,43159.0125,14,33.0,43.2,172.8,16.42,232.42,5,3,4
1423833643,43116.033333333,2,3.0,15.16,60.63,5.76,82.0,4,7,0
1522418879,43147.927777778,21,44.0,48.8,195.2,18.54,262.54,4,4,1
1599911448,43171.941666667,12,42.0,38.1,152.42,14.48,205.0,5,3,4
1875239345,43245.94375,11,38.0,74.56,298.22,28.33,401.0,3,1,1
1717437467,43207.945138889,2,4.0,19.18,76.72,7.29,103.0,5,5,0
1539222442,43152.963194444,34,64.0,93.24,432.96,38.42,564.62,4,4,5
1602739867,43172.917361111,2,5.0,17.66,70.63,6.71,95.0,2,2,0
1948760666,43265.11875,10,6.0,28.88,115.52,10.98,155.0,2,1,2
1640550979,43184.865277778,13,35.0,69.62,198.91,22.48,291.01,5,3,6
1451444542,43124.898611111,5,40.0,27.76,111.04,10.55,149.0,4,7,4
1902049449,43252.956944444,29,54.0,120.74,482.98,45.88,650.0,4,0,1
OSN_923037503,43186.894444444,5,33.43,7.25,29.0,2.75,39.0,5,3,1
1751559887,43216.007638889,10,39.0,45.79,183.15,17.4,246.0,3,1,4
1565311478,43160.964583333,4,13.0,18.58,74.32,7.06,99.96,4,7,4
1696413723,43201.979861111,6,27.0,24.9,99.58,9.46,134.0,4,5,4
1487967851,43137.073611111,1,2.0,14.06,56.24,5.34,76.0,5,3,0
1451769774,43125.063888889,5,5.0,20.26,81.05,7.7,109.0,2,2,0
1448491041,43123.963194444,31,75.0,98.12,392.5,37.29,528.0,2,2,1
1423570204,43115.9125,17,54.0,47.08,188.32,17.9,253.0,5,3,1
1894059849,43250.9875,49,91.0,141.94,602.76,55.69,800.0,5,6,5
1635063592,43182.897916667,30,95.0,112.08,483.33,44.34,639.75,4,4,5
1730565489,43210.900694444,21,58.0,69.85,279.42,26.56,376.0,2,1,1
1510449006,43143.934722222,4,6.0,16.6,66.4,6.31,89.31,5,3,0
1510602336,43144.025,5,5.0,17.02,68.08,6.46,91.56,4,7,0
1679742364,43197.042361111,3,3.0,20.63,82.53,7.84,111.0,5,3,0
1613032821,43175.903472222,2,4.0,16.54,66.17,6.29,89.0,4,7,0
1902140451,43252.989583333,31,50.0,115.77,533.09,47.49,696.0,2,0,5
1565174221,43160.928472222,4,34.0,25.51,102.03,9.69,137.23,5,3,4
1669733627,43193.899305556,3,33.0,28.26,113.05,10.74,152.05,3,7,4
1605911642,43174.19375,2,2.0,13.94,55.76,5.3,75.0,4,7,0
1426714037,43116.972222222,11,34.0,32.92,131.68,12.51,177.0,5,3,4
OSN_933739493,43194.903472222,2,19.38,7.25,29.0,2.75,39.0,5,3,1
1536115123,43151.933333333,13,48.0,39.4,157.6,14.97,211.97,5,3,4
1918518490,43256.961111111,12,45.0,43.31,173.23,16.46,233.0,5,5,2
1987014006,43273.925694444,11,47.0,84.76,339.03,32.21,456.0,5,0,1
1863617920,43242.899305556,5,9.0,24.95,99.82,9.48,134.0,5,5,0
2012706916,43281.015972222,3,4.0,21.56,86.25,8.19,116.0,3,1,0
1587418457,43168.216666667,8,25.0,32.28,129.12,12.27,173.67,5,3,4
1672771175,43194.911111111,16,47.0,51.93,207.73,19.74,279.4,4,4,4
1403547103,43108.888888889,28,86.0,83.32,333.28,31.66,448.0,4,4,1
1893635589,43250.881944444,7,44.0,38.29,153.16,14.55,206.0,4,5,2
1563443829,43160.559027778,56,9.0,226.34,1025.36,92.0,1343.7,4,6,3
1870769964,43245.182638889,31,50.0,78.4,383.6,33.29,495.0,4,0,5
1841319078,43236.925,8,39.0,37.55,150.18,14.27,202.0,5,5,2
1493834631,43138.991666667,4,22.0,20.8,83.2,7.9,112.0,4,7,4
1403737601,43108.978472222,2,2.0,18.02,72.08,6.84,97.0,4,7,0
1751571490,43216.018055556,4,4.0,21.04,84.16,8.0,113.0,5,5,0
1978907849,43271.975,2,4.0,19.7,78.81,7.49,106.0,3,1,0
1487647440,43136.901388889,10,42.0,47.38,189.52,18.01,255.0,4,7,4
1394976385,43105.884722222,10,49.0,58.11,232.43,22.08,313.0,5,3,1
1412065109,43111.931944444,3,28.0,22.36,89.44,8.49,120.0,1,2,4
1703551442,43203.934722222,5,21.0,46.81,187.24,17.78,251.83,4,5,1
1533041755,43150.935416667,8,57.0,47.1,188.4,17.9,253.4,5,3,4
1490673394,43137.954166667,27,67.0,72.3,289.2,27.47,389.0,4,4,1
1516393994,43146.028472222,2,3.0,17.99,71.97,6.84,97.0,5,3,0
1699743963,43202.927083333,15,45.0,44.94,214.74,18.83,278.51,5,5,5
1406015646,43109.879861111,9,46.0,34.48,137.92,13.1,186.0,2,2,4
1516336066,43145.986111111,3,10.0,20.0,80.0,7.6,107.6,5,3,4
1914926628,43255.941666667,8,27.0,69.71,278.82,26.48,375.0,4,5,1
1632052342,43182.028472222,4,4.0,19.58,78.33,7.44,105.35,2,2,0
1809490376,43230.064583333,4,4.0,15.88,63.52,6.04,85.0,5,5,0
1474649247,43133.002777778,2,2.0,12.64,50.56,4.81,68.0,4,7,0
1879246081,43247.034722222,4,4.0,20.56,82.24,7.81,111.0,4,5,0
1536033823,43151.909027778,6,41.0,32.11,128.44,12.2,172.75,5,3,4
OSN_885773819,43158.968055556,3,14.63,7.43,29.74,2.83,40.0,4,7,4
1743795495,43214.270833333,16,31.0,61.68,246.71,23.44,332.0,3,1,1
1743436233,43213.928472222,1,3.0,15.77,63.07,5.99,85.0,5,5,0
1602659429,43172.888888889,9,37.0,43.9,175.6,16.68,236.18,4,7,4
1886629487,43248.897222222,11,42.0,47.82,191.28,18.16,257.0,5,5,2
1389975162,43104.068055556,12,15.0,43.05,272.2,21.36,337.0,3,7,5
1442744790,43122.364583333,31,115.0,131.93,587.71,53.14,773.0,4,4,6
1801794140,43227.928472222,15,45.0,59.26,237.03,22.52,319.0,3,1,1
1945171867,43263.9375,28,52.0,97.94,391.78,37.22,527.0,5,0,1
1951883389,43265.881944444,22,53.0,71.78,287.13,27.28,386.0,4,0,1
1730999467,43210.974305556,20,49.0,68.44,273.78,26.01,368.0,5,0,1
1713832850,43206.915277778,13,49.0,41.08,164.31,15.61,221.0,4,5,4
OSN_999571081,43235.982638889,2,14.8,9.36,37.45,3.56,50.0,5,5,2
1833600244,43234.897916667,6,30.0,29.37,117.47,11.16,158.0,3,1,2
1429702328,43118.060416667,14,34.0,45.43,181.74,17.27,244.0,3,7,4
1631850777,43181.911111111,15,44.0,75.78,303.1,28.8,407.68,4,4,1
1510333134,43143.895138889,3,6.0,24.01,96.02,9.12,129.15,4,7,0
1587017179,43167.897222222,2,4.0,13.69,54.78,5.2,73.67,3,7,0
1565298123,43160.959722222,29,66.0,77.95,311.8,29.64,419.39,4,4,1
1462472263,43128.777083333,14,53.0,57.17,228.68,21.74,308.0,4,4,4
1841228904,43236.901388889,5,40.0,30.48,121.94,11.59,164.0,4,5,2
1545680869,43155.004166667,11,39.0,41.4,165.6,15.73,222.73,4,7,4
1429621530,43117.986111111,11,43.0,48.29,193.16,18.35,260.0,2,2,4
1676030255,43196.032638889,5,15.0,26.62,106.48,10.12,143.22,5,3,4
1406151224,43109.915972222,0,1.0,12.0,48.0,4.56,65.0,4,7,0
1448592287,43124.057638889,3,3.0,21.13,84.52,8.03,114.0,1,2,0
2008682446,43279.902083333,20,121.0,77.22,308.88,29.34,415.0,5,0,6
1952364342,43266.131944444,8,25.0,32.53,130.11,12.37,175.0,1,1,2
OSN_1023168149,43256.178472222,2,8.98,12.24,48.94,4.65,66.0,5,5,2
1583852040,43166.942361111,11,42.0,47.82,191.28,18.17,257.27,5,3,4
1751592362,43216.023611111,5,6.0,23.36,93.44,8.87,126.0,3,1,0
1860690207,43242.045138889,1,2.0,13.2,52.79,5.02,71.0,5,5,0
1692917334,43200.919444444,13,49.0,43.68,174.72,16.6,235.0,3,1,4
1580982220,43165.996527778,5,5.0,22.2,88.8,8.44,119.44,4,7,0
1781078974,43222.904861111,31,75.0,95.88,418.52,38.19,553.0,4,0,5
1474595874,43132.965277778,11,37.0,47.45,189.8,18.03,255.0,5,3,4
1406208307,43109.936805556,20,42.0,56.47,225.87,21.45,304.0,5,3,1
1751275042,43215.910416667,8,55.0,47.58,190.34,18.08,256.0,5,5,4
1432674781,43118.955555556,3,4.0,14.2,56.8,5.4,76.0,3,7,0
1925654207,43258.945138889,6,42.0,29.55,118.22,11.23,159.0,2,1,2
1558869982,43158.91875,11,42.0,36.4,145.6,13.83,195.83,4,7,4
1833518481,43234.881944444,2,5.0,37.17,148.67,14.12,200.0,2,1,2
1805481788,43228.971527778,2,3.0,25.09,100.37,9.54,135.0,5,5,0
1448580338,43124.043055556,1,1.0,13.2,52.8,5.02,71.0,3,7,0
1429671089,43118.023611111,11,37.0,38.34,153.36,14.57,206.0,5,3,4
2011081175,43280.740277778,2,6.0,20.82,83.27,7.91,112.0,2,1,0
1911897734,43255.467361111,18,58.0,49.48,197.92,18.81,266.0,5,5,2
1426781822,43117.031944444,10,34.0,32.08,128.32,12.19,173.0,4,7,4
1415249853,43112.897916667,21,51.0,86.67,346.66,32.94,466.0,5,4,1
1678399019,43196.788194444,6,48.0,33.52,134.08,12.73,180.33,4,7,4
1435928426,43119.95,31,78.0,97.76,391.02,37.15,526.0,4,4,1
OSN_1033481875,43265.064583333,2,6.85,12.01,48.03,4.56,65.0,3,1,2
1542290622,43154.004166667,20,40.0,45.8,183.2,17.4,246.4,5,3,1
1819340049,43231.883333333,9,41.0,88.29,353.16,33.55,475.0,4,0,1
1879291441,43247.082638889,6,5.0,25.24,100.96,9.59,136.0,5,5,0
1833485714,43234.877777778,7,38.0,33.49,133.98,12.73,180.0,5,5,2
1915055349,43256.009027778,5,5.0,26.21,104.83,9.96,141.0,4,5,0
1423544128,43115.896527778,17,61.0,53.65,214.61,20.39,289.0,3,7,4
1653809909,43188.991666667,2,3.0,18.96,75.84,7.2,102.0,3,7,0
OSN_1012254757,43245.932638889,15,66.33,54.31,238.21,21.69,314.0,5,5,5
1870673381,43245.01875,10,26.0,29.92,119.68,11.36,161.0,2,1,2
1555909918,43157.903472222,27,55.0,72.71,290.86,27.62,391.19,4,4,1
1487614841,43136.895138889,3,7.0,21.91,87.64,8.32,118.0,4,7,0
1971479265,43270.070138889,11,21.0,48.76,195.06,18.54,262.0,4,5,2
1562146151,43159.958333333,12,45.0,42.6,170.4,16.19,229.19,5,3,4
1886867404,43248.982638889,2,12.0,21.38,85.54,8.12,115.0,5,5,2
1426627586,43116.927083333,12,44.0,42.68,170.7,16.22,230.0,4,7,4
1805538036,43229.013194444,10,38.0,46.65,186.62,17.73,251.0,3,1,2
1785117779,43223.948611111,8,34.0,33.46,133.82,12.71,180.0,5,5,4
1672950876,43194.993055556,2,2.0,16.96,67.84,6.44,91.24,3,7,0
2002519586,43278.047916667,5,4.0,25.78,103.12,9.8,139.0,5,5,0
1743269857,43213.88125,2,5.0,19.7,78.81,7.49,106.0,5,5,0
OSN_914758323,43180.802777778,5,42.78,32.94,131.74,12.52,177.0,4,7,4
1415511007,43112.938888889,11,53.0,39.46,157.84,14.99,212.0,4,7,4
1863834255,43243.020833333,2,2.0,17.12,68.48,6.5,92.0,4,5,0
1633384022,43182.58125,64,0.0,339.8,1359.2,129.12,1828.12,5,6,3
1725556031,43209.889583333,5,35.0,33.28,133.1,12.66,179.0,4,5,4
1669791332,43193.922222222,4,30.0,23.68,94.74,9.0,127.42,4,7,4
1432529741,43118.902083333,8,45.0,34.46,137.82,13.09,185.0,4,7,4
1411882007,43111.885416667,8,47.0,36.27,145.09,13.78,195.0,3,7,4
1429661856,43118.009027778,1,2.0,16.48,65.94,6.27,89.0,5,3,0
1721563349,43208.975694444,5,30.0,34.5,137.98,13.12,186.0,4,5,4
1755291458,43216.885416667,12,56.0,67.29,269.14,25.57,362.0,2,1,1
1951943677,43265.886805556,5,34.0,42.52,170.06,16.16,229.0,2,1,2
1647138581,43186.994444444,6,27.0,26.14,104.54,9.94,140.62,4,7,4
1971228374,43269.930555556,2,4.0,25.28,101.11,9.61,136.0,4,5,0
1661709834,43191.666666667,20,52.0,45.89,183.55,17.44,246.88,2,2,1
1863678540,43242.917361111,11,38.0,54.08,216.32,20.55,291.0,4,5,2
1643956729,43185.890972222,4,30.0,0.0,80.77,6.23,87.0,5,3,7
1415678833,43113.013194444,9,34.0,58.42,233.68,22.2,314.0,5,3,1
1643954283,43185.894444444,25,58.0,85.41,341.63,32.45,459.49,5,4,1
1743593073,43213.995833333,11,25.0,34.57,138.29,13.13,186.0,5,5,4
1532895580,43150.882638889,7,41.0,31.2,124.8,11.86,167.86,4,7,4
1918410136,43256.913194444,2,5.0,21.62,86.46,8.21,116.0,4,5,0
1918315970,43256.890277778,3,7.0,29.55,118.22,11.23,159.0,5,5,0
1542315822,43154.033333333,1,2.0,14.46,57.85,5.49,77.8,5,3,0
1747397130,43215.010416667,30,52.0,84.39,372.54,33.82,491.0,3,0,5
1890056225,43249.913888889,15,56.0,73.98,330.92,29.87,435.0,4,0,5
1730832650,43210.940277778,33,81.0,102.84,446.36,40.84,590.0,5,0,5
1432800324,43119.068055556,9,32.0,30.04,120.16,11.4,162.0,4,7,4
1890243607,43250.022222222,4,22.0,25.25,100.99,9.58,136.0,5,5,2
1539218276,43152.959027778,11,43.0,41.25,165.0,15.68,221.93,5,3,4
1411937012,43111.889583333,7,28.0,30.76,123.06,11.69,166.0,4,7,4
1945124718,43263.926388889,3,7.0,22.12,88.47,8.4,119.0,4,5,0
1605656915,43173.918055556,2,5.0,18.49,73.97,7.03,99.49,4,7,0
2005405425,43278.89375,22,58.0,77.94,311.76,29.62,419.0,5,0,1
1886727207,43248.918055556,11,38.0,34.48,137.92,13.11,186.0,5,5,2
1889983558,43249.890277778,2,5.0,22.68,90.7,8.62,122.0,4,5,0
1610765983,43175.580555556,4,35.0,27.51,110.04,10.45,148.0,4,7,4
1666837420,43192.890277778,8,21.0,37.07,148.28,14.1,199.45,4,7,4
1423699084,43115.945833333,4,6.0,22.03,88.13,8.38,119.0,5,3,0
1918376134,43256.90625,16,59.0,64.17,291.68,26.13,382.0,5,0,5
1426525480,43116.898611111,10,41.0,47.13,188.52,17.91,254.0,5,3,4
1948325061,43264.872916667,7,30.0,47.04,188.16,17.86,253.0,4,5,2
1717321977,43207.915972222,17,50.0,51.84,207.36,19.7,278.9,5,5,1
1867188268,43243.977777778,2,3.0,13.75,55.02,5.23,74.0,4,5,0
1487731132,43136.916666667,16,48.0,50.02,200.08,19.0,269.0,5,3,4
1631921114,43181.947916667,9,39.0,38.48,153.9,14.63,207.0,3,7,4
1893666119,43250.883333333,14,54.0,59.36,237.44,22.55,319.0,5,5,2
1562247773,43160.01875,3,3.0,14.6,58.4,5.55,78.55,4,7,0
1894178421,43251.133333333,27,48.0,64.31,257.25,24.44,346.0,5,0,1
1781115501,43222.909027778,27,64.0,104.68,418.7,39.78,563.0,5,0,1
1666956933,43192.931944444,13,42.0,43.87,175.46,16.67,236.0,3,7,4
1785023071,43223.933333333,20,45.0,47.58,190.34,18.08,256.0,2,1,1
1587073152,43167.902777778,16,47.0,49.57,198.28,18.83,266.68,4,4,4
1941917547,43263.131944444,11,30.0,43.62,174.5,16.58,235.0,4,5,2
1657030625,43189.998611111,11,40.0,41.44,165.76,15.75,222.95,4,7,4
2005637455,43278.967361111,20,59.0,70.09,315.37,28.39,414.0,3,1,5
2009907643,43280.484722222,10,49.0,41.82,167.29,15.89,225.0,4,5,2
1863576439,43242.895138889,29,58.0,83.53,369.12,33.5,449.0,5,0,3
1561981512,43159.899305556,5,40.0,29.6,118.4,11.25,159.25,4,7,4
1809150006,43229.906944444,2,5.0,26.21,104.83,9.96,141.0,3,1,0
1599791774,43171.897916667,4,7.0,24.05,96.22,9.14,129.41,5,3,0
1386641437,43102.897222222,6,35.0,35.19,140.76,13.37,189.0,4,7,4
1412233075,43112.063194444,2,2.0,14.92,59.7,5.68,80.0,4,7,0
2005546827,43278.928472222,1,2.0,31.68,126.72,12.04,170.0,3,1,2
2002344295,43277.922222222,5,48.0,49.66,198.64,18.87,267.0,4,5,2
1819653097,43231.921527778,37,81.0,197.58,825.3,76.82,1100.0,4,6,6
1587361067,43168.095833333,22,40.0,59.44,237.76,22.59,319.79,4,4,1
1998983227,43276.886111111,30,72.0,83.46,368.83,33.46,486.0,4,0,5
1813367249,43230.888194444,21,50.0,95.04,380.16,36.1,511.0,1,1,1
1602932391,43173.097916667,2,15.0,20.54,82.16,7.8,110.5,4,7,4
1747314128,43214.963194444,8,33.0,44.3,177.2,16.83,238.0,3,1,4
1472072924,43132.215972222,10,33.0,29.78,119.11,11.32,160.0,5,3,4
1689695500,43199.896527778,31,61.0,124.88,569.5,50.96,745.34,4,0,5
1600051146,43172.043055556,2,3.0,16.54,66.17,6.29,89.0,4,7,0
1594664667,43170.572916667,3,4.0,17.66,70.63,6.71,95.0,4,7,0
1918305757,43256.890277778,7,49.0,52.97,211.9,20.13,285.0,4,5,2
1406348045,43110.070138889,3,3.0,19.46,77.85,7.39,105.0,4,7,0
1669743648,43193.903472222,11,47.0,40.2,160.8,15.28,216.28,3,7,4
1609323114,43174.9625,13,38.0,43.12,172.49,16.38,231.99,4,7,4
1539306877,43153.00625,7,27.0,35.53,142.14,13.51,191.18,4,7,4
1941574104,43262.900694444,5,33.0,41.63,166.53,15.82,224.0,5,5,2
1472019845,43132.109722222,8,15.0,29.91,119.62,11.36,161.0,5,3,4
1613066599,43175.917361111,11,75.0,46.97,187.86,17.84,252.67,4,4,4
1925405354,43258.872222222,30,86.0,140.33,596.34,55.08,792.0,4,0,6
1580869146,43165.929861111,2,15.0,20.52,82.08,7.8,110.4,5,3,4
1922244529,43257.960416667,20,61.0,76.57,341.28,30.84,449.0,2,1,5
1675750702,43195.889583333,3,6.0,19.82,79.29,7.53,106.64,5,3,0
1600096375,43172.139583333,2,2.0,12.64,50.56,4.81,68.01,4,7,0
1801958125,43228.004166667,3,4.0,19.41,77.62,7.37,104.0,5,5,0
