City,Zone,Week Number,Day,4 hour windows,Date,Time stamp date,Demand,Fulfilment %,Avg. Price,Avg. Trip Size,Cancellation % (Total),Driver Cancellation%,Customer Cancellation %,Avg. ETA,
Hyderabad,Zone 2,1,6,08:00 to 12:00,02-07-2019,02/07/2019 08:11:18,967,75,191,14,39.1,6.1,33.0,17.4,
Hyderabad,Zone 2,1,6,12:00 to 16:00,02-07-2019,02/07/2019 15:05:38,947,65,119,14,8.0,1.3,6.8,12.1,
Hyderabad,Zone 2,1,6,16:00 to 20:00,02-07-2019,02/07/2019 19:45:47,973,70,191,9,34.2,5.3,28.8,23.1,
Hyderabad,Zone 2,1,6,20:00 to 00:00,02-07-2019,02/07/2019 22:59:47,901,72,191,14,35.7,5.6,30.1,14.8,
Hyderabad,Zone 2,1,7,00:00 to 04:00,03-07-2019,03/07/2019 01:46:44,984,66,145,9,31.2,4.9,26.3,16.4,
Hyderabad,Zone 2,1,7,04:00 to 08.00,03-07-2019,03/07/2019 06:35:49,986,72,108,14,43.2,6.8,36.5,17.2,
Hyderabad,Zone 2,1,7,08:00 to 12:00,03-07-2019,03/07/2019 10:11:56,980,70,190,14,37.2,5.8,31.4,20.0,
Hyderabad,Zone 2,1,7,12:00 to 16:00,03-07-2019,03/07/2019 15:35:36,953,72,105,14,19.5,3.1,16.5,13.0,
Hyderabad,Zone 2,1,7,16:00 to 20:00,03-07-2019,03/07/2019 16:33:26,922,75,192,14,35.4,5.5,29.8,26.9,
Hyderabad,Zone 2,1,7,20:00 to 00:00,03-07-2019,03/07/2019 21:07:16,909,70,183,8,44.9,7.0,37.9,19.4,
Hyderabad,Zone 3,1,1,00:00 to 04:00,27-06-2019,27/06/2019 01:35:35,1156,70,142,8,43.0,6.7,36.3,28.7,
Hyderabad,Zone 3,1,1,04:00 to 08.00,27-06-2019,27/06/2019 06:49:08,1039,71,54,7,45.5,7.1,38.4,19.3,
Hyderabad,Zone 3,1,1,08:00 to 12:00,27-06-2019,27/06/2019 09:13:51,1127,71,150,8,27.2,4.2,22.9,16.1,
Hyderabad,Zone 3,1,1,12:00 to 16:00,27-06-2019,27/06/2019 12:08:51,1182,74,109,12,37.5,5.9,31.6,15.3,
Hyderabad,Zone 3,1,1,16:00 to 20:00,27-06-2019,27/06/2019 18:55:25,1075,70,197,12,45.7,7.1,38.6,18.0,
Hyderabad,Zone 3,1,1,20:00 to 00:00,27-06-2019,27/06/2019 23:49:04,1083,69,189,12,42.8,6.7,36.1,17.0,
Hyderabad,Zone 3,1,2,00:00 to 04:00,28-06-2019,28/06/2019 02:19:13,1048,65,166,10,35.1,5.5,29.6,24.9,
Hyderabad,Zone 3,1,2,04:00 to 08.00,28-06-2019,28/06/2019 07:10:57,1092,67,64,10,40.4,6.3,34.1,24.9,
Hyderabad,Zone 3,1,2,08:00 to 12:00,28-06-2019,28/06/2019 10:33:16,1174,74,165,4,37.8,5.9,31.9,18.0,
Hyderabad,Zone 3,1,2,12:00 to 16:00,28-06-2019,28/06/2019 14:47:37,1163,66,109,12,28.6,4.5,24.1,15.0,
Hyderabad,Zone 3,1,2,16:00 to 20:00,28-06-2019,28/06/2019 19:25:33,1101,75,191,8,34.3,5.4,29.0,29.7,
Hyderabad,Zone 3,1,2,20:00 to 00:00,28-06-2019,28/06/2019 23:43:09,1156,73,176,8,32.0,5.0,27.0,30.2,
Hyderabad,Zone 3,1,4,00:00 to 04:00,30-06-2019,30/06/2019 03:13:59,1051,69,146,15,44.3,6.9,37.4,18.9,
Hyderabad,Zone 3,1,4,04:00 to 08.00,30-06-2019,30/06/2019 04:36:53,1060,72,57,10,9.3,1.5,7.9,12.7,
Hyderabad,Zone 3,1,4,08:00 to 12:00,30-06-2019,30/06/2019 09:23:12,1158,71,154,4,31.3,4.9,26.4,15.3,
Hyderabad,Zone 3,1,4,12:00 to 16:00,30-06-2019,30/06/2019 14:19:01,1166,66,58,6,10.8,1.7,9.2,14.4,
Hyderabad,Zone 3,1,4,16:00 to 20:00,30-06-2019,30/06/2019 16:26:07,1129,66,185,13,13.8,2.2,11.6,2.1,
Hyderabad,Zone 3,1,4,20:00 to 00:00,30-06-2019,30/06/2019 21:17:11,1124,70,199,10,31.4,4.9,26.5,6.9,
Hyderabad,Zone 3,1,4,00:00 to 04:00,30-06-2019,30/06/2019 00:26:57,1062,71,143,12,11.5,1.8,9.7,10.8,
Hyderabad,Zone 3,1,4,04:00 to 08.00,30-06-2019,30/06/2019 05:50:49,1004,75,99,12,37.1,5.8,31.3,18.2,
Hyderabad,Zone 3,1,4,08:00 to 12:00,30-06-2019,30/06/2019 08:27:14,1012,68,158,4,22.1,3.5,18.7,8.5,
Hyderabad,Zone 3,1,4,12:00 to 16:00,30-06-2019,30/06/2019 13:45:56,1091,72,99,12,38.4,6.0,32.4,18.5,
Hyderabad,Zone 3,1,4,16:00 to 20:00,30-06-2019,30/06/2019 18:24:42,1031,74,189,14,8.6,1.3,7.2,2.2,
Hyderabad,Zone 3,1,4,20:00 to 00:00,30-06-2019,30/06/2019 23:38:06,1162,73,196,10,36.1,5.6,30.4,19.3,
Hyderabad,Zone 3,1,5,00:00 to 04:00,01-07-2019,01/07/2019 00:23:11,1191,71,146,7,30.4,4.8,25.7,5.3,
Hyderabad,Zone 3,1,5,04:00 to 08.00,01-07-2019,01/07/2019 05:47:36,1019,66,148,13,46.2,7.2,39.0,20.0,
Hyderabad,Zone 3,1,5,08:00 to 12:00,01-07-2019,01/07/2019 10:09:30,1051,67,212,12,12.3,1.9,10.4,12.4,
Hyderabad,Zone 3,1,5,12:00 to 16:00,01-07-2019,01/07/2019 15:27:37,1159,68,59,4,34.2,5.3,28.9,19.4,
Hyderabad,Zone 3,1,5,16:00 to 20:00,01-07-2019,01/07/2019 18:59:23,1152,74,195,14,30.3,4.7,25.5,16.7,
Hyderabad,Zone 3,1,5,20:00 to 00:00,01-07-2019,01/07/2019 23:42:35,1005,71,191,7,44.4,6.9,37.4,18.8,
Hyderabad,Zone 3,1,6,00:00 to 04:00,02-07-2019,02/07/2019 02:43:23,1119,68,140,8,28.7,4.5,24.2,16.4,
Hyderabad,Zone 3,1,6,04:00 to 08.00,02-07-2019,02/07/2019 07:58:35,1154,74,55,9,42.8,6.7,36.1,28.9,
Hyderabad,Zone 3,1,6,08:00 to 12:00,02-07-2019,02/07/2019 08:50:21,1072,70,142,7,42.2,6.6,35.6,30.8,
Hyderabad,Zone 3,1,6,12:00 to 16:00,02-07-2019,02/07/2019 13:26:05,1122,70,104,9,8.7,1.4,7.4,0.8,
Hyderabad,Zone 3,1,6,16:00 to 20:00,02-07-2019,02/07/2019 17:22:08,1193,71,202,5,20.1,3.1,17.0,14.0,
Hyderabad,Zone 3,1,6,20:00 to 00:00,02-07-2019,02/07/2019 21:17:14,1021,73,184,11,24.6,3.8,20.7,14.0,
Hyderabad,Zone 3,1,7,00:00 to 04:00,03-07-2019,03/07/2019 01:26:13,1148,73,134,8,38.0,5.9,32.0,17.1,
Hyderabad,Zone 3,1,7,04:00 to 08.00,03-07-2019,03/07/2019 05:22:22,1180,66,108,9,49.1,7.7,41.5,19.1,
Hyderabad,Zone 3,1,7,08:00 to 12:00,03-07-2019,03/07/2019 09:48:54,1047,70,160,5,19.5,3.0,16.4,2.3,
Hyderabad,Zone 3,1,7,12:00 to 16:00,03-07-2019,03/07/2019 15:23:33,1164,67,52,4,34.8,5.4,29.4,19.2,
Hyderabad,Zone 3,1,7,16:00 to 20:00,03-07-2019,03/07/2019 19:54:32,1050,72,203,11,31.3,4.9,26.4,15.4,
Hyderabad,Zone 3,1,7,20:00 to 00:00,03-07-2019,03/07/2019 20:12:29,1035,65,198,9,34.4,5.4,29.0,19.4,
Hyderabad,Zone 4,1,1,00:00 to 04:00,27-06-2019,27/06/2019 02:18:31,1003,70,144,12,37.9,5.9,32.0,17.3,
Hyderabad,Zone 4,1,1,04:00 to 08.00,27-06-2019,27/06/2019 06:42:48,1134,68,54,15,26.0,4.1,22.0,14.9,
Hyderabad,Zone 4,1,1,08:00 to 12:00,27-06-2019,27/06/2019 09:50:41,1003,72,158,6,17.8,2.8,15.0,2.5,
Hyderabad,Zone 4,1,1,12:00 to 16:00,27-06-2019,27/06/2019 12:22:06,1035,73,87,11,31.2,4.9,26.3,13.3,
Hyderabad,Zone 4,1,1,16:00 to 20:00,27-06-2019,27/06/2019 17:48:26,1066,66,204,12,46.7,7.3,39.4,19.4,
Hyderabad,Zone 4,1,1,20:00 to 00:00,27-06-2019,27/06/2019 21:53:51,1028,73,181,8,26.5,4.1,22.3,15.3,
Hyderabad,Zone 4,1,2,00:00 to 04:00,28-06-2019,28/06/2019 03:21:26,1097,65,161,11,15.1,2.4,12.8,3.1,
Hyderabad,Zone 4,1,2,04:00 to 08.00,28-06-2019,28/06/2019 05:38:32,1179,66,90,13,40.2,6.3,33.9,23.6,
Hyderabad,Zone 4,1,2,08:00 to 12:00,28-06-2019,28/06/2019 11:57:59,1158,75,207,13,19.6,3.1,16.5,3.4,
Hyderabad,Zone 4,1,2,12:00 to 16:00,28-06-2019,28/06/2019 15:44:47,1170,69,118,15,43.0,6.7,36.3,16.9,
Hyderabad,Zone 4,1,2,16:00 to 20:00,28-06-2019,28/06/2019 19:43:14,1019,68,193,9,22.1,3.5,18.6,7.0,
Hyderabad,Zone 4,1,2,20:00 to 00:00,28-06-2019,28/06/2019 23:00:03,1128,69,185,13,38.2,6.0,32.2,19.6,
Hyderabad,Zone 4,1,4,00:00 to 04:00,30-06-2019,30/06/2019 02:24:03,1039,68,155,11,36.2,5.7,30.5,18.0,
Hyderabad,Zone 4,1,4,04:00 to 08.00,30-06-2019,30/06/2019 04:56:24,1104,75,63,6,29.6,4.6,25.0,15.6,
Hyderabad,Zone 4,1,4,08:00 to 12:00,30-06-2019,30/06/2019 09:37:30,1173,71,197,15,12.7,2.0,10.7,1.1,
Hyderabad,Zone 4,1,4,12:00 to 16:00,30-06-2019,30/06/2019 14:09:21,1164,66,90,7,40.9,6.4,34.5,5.4,
Hyderabad,Zone 4,1,4,16:00 to 20:00,30-06-2019,30/06/2019 18:22:54,1171,69,186,12,15.8,2.5,13.4,1.7,
Hyderabad,Zone 4,1,4,20:00 to 00:00,30-06-2019,30/06/2019 20:09:36,1009,71,200,11,16.8,2.6,14.2,14.7,
Hyderabad,Zone 4,1,4,00:00 to 04:00,30-06-2019,30/06/2019 03:40:37,1094,68,146,6,36.6,5.7,30.9,15.9,
Hyderabad,Zone 4,1,4,04:00 to 08.00,30-06-2019,30/06/2019 05:11:25,1107,66,91,10,42.8,6.7,36.1,18.6,
Hyderabad,Zone 4,1,4,08:00 to 12:00,30-06-2019,30/06/2019 11:03:56,1083,67,145,5,16.5,2.6,13.9,10.3,
Hyderabad,Zone 4,1,4,12:00 to 16:00,30-06-2019,30/06/2019 12:02:35,1150,75,113,15,45.7,7.1,38.5,17.6,
Hyderabad,Zone 4,1,4,16:00 to 20:00,30-06-2019,30/06/2019 19:46:02,1101,70,183,11,32.1,5.0,27.1,20.6,
Hyderabad,Zone 4,1,4,20:00 to 00:00,30-06-2019,30/06/2019 21:14:01,1183,71,198,5,27.5,4.3,23.2,15.9,
Hyderabad,Zone 4,1,5,00:00 to 04:00,01-07-2019,01/07/2019 02:13:50,1032,68,170,9,25.4,4.0,21.5,8.0,
Hyderabad,Zone 4,1,5,04:00 to 08.00,01-07-2019,01/07/2019 07:27:06,1081,65,62,4,37.0,5.8,31.2,27.2,
Hyderabad,Zone 4,1,5,08:00 to 12:00,01-07-2019,01/07/2019 10:50:36,1113,72,196,13,42.2,6.6,35.6,17.1,
Hyderabad,Zone 4,1,5,12:00 to 16:00,01-07-2019,01/07/2019 12:09:37,1192,68,73,8,30.9,4.8,26.1,15.4,
Hyderabad,Zone 4,1,5,16:00 to 20:00,01-07-2019,01/07/2019 16:10:17,1011,75,180,10,26.9,4.2,22.7,14.9,
Hyderabad,Zone 4,1,5,20:00 to 00:00,01-07-2019,01/07/2019 23:30:57,1049,73,197,9,44.2,6.9,37.3,17.4,
Hyderabad,Zone 4,1,6,00:00 to 04:00,02-07-2019,02/07/2019 00:15:47,1111,75,131,4,43.6,6.8,36.7,18.5,
Hyderabad,Zone 4,1,6,04:00 to 08.00,02-07-2019,02/07/2019 04:07:48,1157,66,126,11,38.4,6.0,32.4,17.2,
Hyderabad,Zone 4,1,6,08:00 to 12:00,02-07-2019,02/07/2019 08:09:04,1177,69,191,15,28.6,4.5,24.1,15.0,
Hyderabad,Zone 4,1,6,12:00 to 16:00,02-07-2019,02/07/2019 15:56:17,1161,66,83,4,38.9,6.1,32.8,18.4,
Hyderabad,Zone 4,1,6,16:00 to 20:00,02-07-2019,02/07/2019 19:53:23,1040,69,209,5,44.3,6.9,37.3,17.3,
Hyderabad,Zone 4,1,6,20:00 to 00:00,02-07-2019,02/07/2019 22:37:49,1193,72,181,9,27.1,4.2,22.9,14.3,
Hyderabad,Zone 4,1,7,00:00 to 04:00,03-07-2019,03/07/2019 01:22:15,1048,70,170,11,39.6,6.2,33.4,17.5,
Hyderabad,Zone 4,1,7,04:00 to 08.00,03-07-2019,03/07/2019 05:16:44,1117,67,103,15,30.5,4.8,25.8,9.3,
Hyderabad,Zone 4,1,7,08:00 to 12:00,03-07-2019,03/07/2019 08:27:45,1059,75,152,5,45.8,7.2,38.7,17.5,
Hyderabad,Zone 4,1,7,12:00 to 16:00,03-07-2019,03/07/2019 15:09:02,1089,74,87,4,34.4,5.4,29.1,15.5,
Hyderabad,Zone 4,1,7,16:00 to 20:00,03-07-2019,03/07/2019 16:26:40,1032,71,184,12,46.7,7.3,39.4,21.9,
Hyderabad,Zone 4,1,7,20:00 to 00:00,03-07-2019,03/07/2019 21:09:59,1151,70,183,7,17.6,2.8,14.9,2.6,
Hyderabad,Zone 5,1,1,00:00 to 04:00,27-06-2019,27/06/2019 03:46:26,925,69,155,13,35.1,5.5,29.6,19.6,
Hyderabad,Zone 5,1,1,04:00 to 08.00,27-06-2019,27/06/2019 05:12:02,939,72,149,13,34.0,5.3,28.7,7.4,
Hyderabad,Zone 5,1,1,08:00 to 12:00,27-06-2019,27/06/2019 11:26:19,984,74,203,15,18.1,2.8,15.3,10.9,
Hyderabad,Zone 5,1,1,12:00 to 16:00,27-06-2019,27/06/2019 15:34:46,917,72,111,9,28.2,4.4,23.8,16.9,
Hyderabad,Zone 5,1,1,16:00 to 20:00,27-06-2019,27/06/2019 18:03:17,942,73,200,14,41.6,6.5,35.1,18.1,
Hyderabad,Zone 5,1,1,20:00 to 00:00,27-06-2019,27/06/2019 21:32:48,927,75,186,12,29.8,4.7,25.1,14.8,
Hyderabad,Zone 5,1,2,00:00 to 04:00,28-06-2019,28/06/2019 00:00:15,938,75,168,11,40.0,6.3,33.7,19.5,
Hyderabad,Zone 5,1,2,04:00 to 08.00,28-06-2019,28/06/2019 04:17:01,977,74,61,15,30.5,4.8,25.7,16.7,
Hyderabad,Zone 5,1,2,08:00 to 12:00,28-06-2019,28/06/2019 08:43:49,931,75,140,8,27.3,4.3,23.1,10.9,
Hyderabad,Zone 5,1,2,12:00 to 16:00,28-06-2019,28/06/2019 13:11:56,955,69,105,9,17.6,2.8,14.8,2.6,
Hyderabad,Zone 5,1,2,16:00 to 20:00,28-06-2019,28/06/2019 18:14:41,973,70,197,11,27.8,4.4,23.5,15.4,
Hyderabad,Zone 5,1,2,20:00 to 00:00,28-06-2019,28/06/2019 20:39:55,990,73,194,9,23.9,3.7,20.1,13.0,
Hyderabad,Zone 5,1,4,00:00 to 04:00,30-06-2019,30/06/2019 01:56:17,932,69,146,8,29.7,4.6,25.1,15.4,
Hyderabad,Zone 5,1,4,04:00 to 08.00,30-06-2019,30/06/2019 07:16:51,988,70,104,10,39.0,6.1,32.9,19.6,
Hyderabad,Zone 5,1,4,08:00 to 12:00,30-06-2019,30/06/2019 11:05:51,973,67,209,10,42.2,6.6,35.6,18.3,
Hyderabad,Zone 5,1,4,12:00 to 16:00,30-06-2019,30/06/2019 15:49:25,969,71,109,12,32.4,5.1,27.3,15.5,
Hyderabad,Zone 5,1,4,16:00 to 20:00,30-06-2019,30/06/2019 19:49:10,936,74,204,12,37.3,5.8,31.5,26.3,
Hyderabad,Zone 5,1,4,20:00 to 00:00,30-06-2019,30/06/2019 22:49:30,951,68,185,13,14.6,2.3,12.3,4.0,
Hyderabad,Zone 5,1,4,00:00 to 04:00,30-06-2019,30/06/2019 01:11:28,970,66,161,10,30.0,4.7,25.3,8.2,
Hyderabad,Zone 5,1,4,04:00 to 08.00,30-06-2019,30/06/2019 04:30:33,958,73,56,14,35.3,5.5,29.8,30.1,
Hyderabad,Zone 5,1,4,08:00 to 12:00,30-06-2019,30/06/2019 08:15:59,900,69,144,8,20.9,3.3,17.7,11.8,
